,chr,group,lfc,pos
0,chr2,1,0.22741622726319594,58821328
1,chr2,1,0.041035545023100396,58821358
2,chr2,1,-0.4539996469669464,58821388
3,chr2,1,-0.3136182875144181,58821418
4,chr2,1,0.2491278046265338,58821448
5,chr2,1,0.4699480885367702,58821478
6,chr2,1,-0.05321845937892482,58821508
7,chr2,1,0.12146947778419123,58821538
8,chr2,1,0.6706898930274259,58821568
9,chr2,1,-0.42723837157770417,58821598
10,chr2,1,-0.17716790922467726,58821628
11,chr2,1,-0.2122248698080105,58821658
12,chr2,2,1.2148093113748197,58915918
13,chr2,2,-0.628660647752381,58916008
14,chr2,2,0.006440576847923389,58916038
15,chr2,2,0.4640443169808611,58916068
16,chr2,2,-0.07963423638822921,58916098
17,chr2,2,0.3857381130449984,58916128
18,chr2,2,-0.39709945149902487,58916158
19,chr2,2,-0.5264376104602647,58916218
20,chr2,2,-0.3072032999463155,58916248
21,chr2,2,-0.1387270859646376,58916278
22,chr2,2,-0.021257814173091614,58916308
23,chr2,2,0.01639495243852678,58916338
24,chr2,2,-0.3371785319765348,58916368
25,chr2,3,0.19302361807010782,58958638
26,chr2,3,0.07454607476649144,58958668
27,chr2,3,1.07843526575611,58958698
28,chr2,3,0.16954496535116256,58958728
29,chr2,3,-0.15882058470368132,58958788
30,chr2,3,0.5123195306765913,58958878
31,chr2,3,-0.15418152924466508,58958908
32,chr2,4,-0.7631084005228539,58985068
33,chr2,4,0.12825355330617114,58985098
34,chr2,4,-0.059911722816057375,58985218
35,chr2,4,0.058614014678932326,58985248
36,chr2,4,-0.8648531043733825,58985278
37,chr2,4,-0.1299326803209106,58985308
38,chr2,4,-0.2354190969173702,58985338
39,chr2,4,-0.10302939764715195,58985368
40,chr2,4,0.06626727777595244,58985398
41,chr2,4,-0.16764615805512395,58985428
42,chr2,4,0.17744876555624206,58985458
43,chr2,5,0.379109503620042,58989328
44,chr2,5,0.9005393710600812,58989358
45,chr2,5,-0.02579979473602309,58989418
46,chr2,5,-0.3471437848909207,58989448
47,chr2,5,-0.34029715741901045,58989478
48,chr2,5,0.12483602942133196,58989508
49,chr2,5,0.04531405298253078,58989538
50,chr2,5,0.22538690753827847,58989568
51,chr2,5,0.03361604067679599,58989598
52,chr2,5,-0.29882613265450153,58989628
53,chr2,5,-0.17724346950629932,58989688
54,chr2,5,0.1379943350196872,58989718
55,chr2,6,0.12996649354321307,59061538
56,chr2,6,-0.8865286403543071,59061568
57,chr2,6,-0.3370777352295106,59061598
58,chr2,6,0.5548145233045804,59061628
59,chr2,6,-0.47120208906341576,59061688
60,chr2,6,-1.0642965414455892,59061718
61,chr2,6,-0.43726131305465976,59061748
62,chr2,6,-0.181636851513571,59061808
63,chr2,6,-0.08311836203932804,59061838
64,chr2,6,-0.5181817142995941,59061898
65,chr2,6,0.13937763948064924,59061928
66,chr2,7,0.49540179652906136,59098888
67,chr2,7,0.10656360656859111,59098918
68,chr2,7,0.2764286502005125,59098948
69,chr2,7,-0.046165544169558696,59098978
70,chr2,7,0.11689842335533505,59099008
71,chr2,7,0.007063880075544956,59099068
72,chr2,7,-0.2348627701810132,59099098
73,chr2,7,0.1621522045594081,59099128
74,chr2,7,0.16623419364470557,59099188
75,chr2,7,0.1994313784026896,59099218
76,chr2,7,0.6811366792196767,59099248
77,chr2,8,0.32447136573376434,59119168
78,chr2,8,0.22064859621265004,59119198
79,chr2,8,-0.11909965157915381,59119228
80,chr2,8,-0.22376715822181664,59119258
81,chr2,8,-0.2853686436768205,59119288
82,chr2,8,0.06381359214532467,59119318
83,chr2,8,-0.10197636460272709,59119348
